"Id","ProcessName","Path","CPU","WorkingSet"
"19860","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,90625","7651328"
"19912","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2,078125","12615680"
"20156","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","3,265625","56012800"
"20664","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,34375","12259328"
"21080","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","50,40625","50286592"
"22076","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2,765625","24477696"
"22444","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2,078125","27828224"
"22808","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","17,171875","3424256"
"22956","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1,0625","63717376"
"23096","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,0625","1560576"
"23236","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","3,015625","20750336"
"23608","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","670,59375","86048768"
"24220","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,625","11374592"
"24572","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","577,421875","16744448"
"24684","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","60,859375","36945920"
"24896","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1,78125","64151552"
"25036","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1,296875","10006528"
"25296","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,515625","41689088"
"25324","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","3,8125","65011712"
"25676","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","130,125","97894400"
"26380","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","376,21875","224706560"
"26644","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","4,265625","17084416"
"26824","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1","6275072"
"27232","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,046875","31318016"
"27320","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,625","4218880"
"27532","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1,609375","7278592"
"27720","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,953125","17108992"
"27728","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","4,953125","27656192"
"28040","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,078125","1929216"
"28120","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1,03125","5447680"
"28212","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1,90625","4300800"
"28568","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","11,3125","74657792"
"28668","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","35,625","201424896"
"28764","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,390625","13787136"
"28952","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2","31678464"
"29120","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2,328125","19292160"
"29516","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,234375","5931008"
"2340","conhost","C:\WINDOWS\system32\conhost.exe","0,015625","1036288"
"5084","conhost","C:\WINDOWS\system32\conhost.exe","0,15625","417792"
"5452","conhost",,,"536576"
"6424","conhost","C:\WINDOWS\system32\conhost.exe","11,5","1146880"
"7316","conhost","C:\WINDOWS\system32\conhost.exe","0,09375","430080"
"8396","conhost","C:\WINDOWS\system32\conhost.exe","0,046875","1175552"
"10308","conhost","C:\WINDOWS\system32\conhost.exe","0,140625","421888"
"12544","conhost","C:\WINDOWS\system32\conhost.exe","0,03125","2592768"
"14384","conhost","C:\WINDOWS\system32\conhost.exe","0,046875","413696"
"14952","conhost","C:\WINDOWS\system32\conhost.exe","0,109375","3969024"
"16376","conhost","C:\WINDOWS\system32\conhost.exe","0,015625","7475200"
"17640","conhost","C:\WINDOWS\system32\conhost.exe","0,265625","1110016"
"17652","conhost","C:\WINDOWS\system32\conhost.exe","0,359375","942080"
"18020","conhost","C:\WINDOWS\system32\conhost.exe","0,03125","1179648"
"19208","conhost","C:\WINDOWS\system32\conhost.exe","0,140625","581632"
"20080","conhost","C:\WINDOWS\system32\conhost.exe","0,015625","1060864"
"20924","conhost","C:\WINDOWS\system32\conhost.exe","0,109375","487424"
"22120","conhost","C:\WINDOWS\system32\conhost.exe","0,078125","425984"
"22908","conhost","C:\WINDOWS\system32\conhost.exe","342,421875","942080"
"23164","conhost","C:\WINDOWS\system32\conhost.exe","0,046875","655360"
"23732","conhost","C:\WINDOWS\system32\conhost.exe","0,015625","7495680"
"24376","conhost","C:\WINDOWS\system32\conhost.exe","0,015625","7446528"
"27124","conhost","C:\WINDOWS\system32\conhost.exe","0,03125","1445888"
"27980","conhost","C:\WINDOWS\system32\conhost.exe","0,0625","1142784"
"28972","conhost","C:\WINDOWS\system32\conhost.exe","0,015625","7471104"
"30708","conhost","C:\WINDOWS\system32\conhost.exe","0,03125","2908160"
"12636","crashpad_handler","C:\Program Files\Google\Drive File Stream\124.0.3.0\crashpad_handler.exe","0,078125","733184"
"8348","CrossDeviceResume","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe","1,140625","4485120"
"9144","CrossDeviceService","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26022.46.0_x64__cw5n1h2txyewy\CrossDeviceService.exe","820,6875","42053632"
